Bairro,Link,Aluguel Cheio,Aluguel com Bonificação,Condomínio,IPTU,Total / Mês,Dormitórios
Jardim Hikare,https://www.cardinali.com.br/comprar/Sao-Carlos/Apartamento/Padrao/Jardim-Hikare/208241,"1.597,50","1.278,00","360,00","43,00",1681.0,2
Parque Arnold Schimidt,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Parque-Arnold-Schimidt/208069,"1.806,25","1.445,00","405,00",,1850.0,1
Parque Arnold Schimidt,https://www.cardinali.com.br/comprar/Sao-Carlos/Apartamento/Padrao/Parque-Arnold-Schimidt/208005,"1.612,50","1.290,00","286,00","50,00",1626.0,1
Parque Arnold Schimidt,https://www.cardinali.com.br/comprar/Sao-Carlos/Apartamento/Padrao/Parque-Arnold-Schimidt/207364,"2.937,50","2.350,00","280,00",,2630.0,1
Centro,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Centro/206781,"3.195,00","2.556,00","288,25","47,44",2891.69,1
Jardim Paraiso,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Jardim-Paraiso/205958,"1.529,04","1.223,23","250,00","90,00",1563.23,1
Vila Monteiro Gleba I,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Kitchnet/Vila-Monteiro-Gleba-I/205789,"962,50","770,00","93,00",,863.0,1
Centro,https://www.cardinali.com.br/comprar/Sao-Carlos/Apartamento/Padrao/Centro/205353,"2.626,25","2.101,00","558,76","116,00",2775.76,3
Jardim Paraiso,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Jardim-Paraiso/204782,"2.237,50","1.790,00","395,00","70,00",2255.0,2
Centro,https://www.cardinali.com.br/comprar/Sao-Carlos/Apartamento/Padrao/Centro/204733,"2.083,75","1.667,00","570,00","120,00",2357.0,2
Jardim Macarengo,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Jardim-Macarengo/204184,"3.056,25","2.445,00","378,00","100,00",2923.0,3
Cidade Jardim,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Cidade-Jardim/203974,"1.667,50","1.334,00","150,00","47,00",1531.0,1
Jardim Santa Paula,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Jardim-Santa-Paula/203267,"2.222,50","1.778,00","480,20","78,05",2336.25,2
Jardim Lutfalla,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Jardim-Lutfalla/203158,"1.306,25","1.045,00","209,00",,1254.0,1
Centro,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Centro/203045,"2.186,25","1.749,00","288,25","74,56",2111.81,1
Jardim Lutfalla,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Jardim-Lutfalla/202952,"1.778,00",,"301,11",,2079.11,1
Jardim Santa Paula,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Jardim-Santa-Paula/202714,"1.511,20",,"416,00","49,00",1976.2,1
Cidade Jardim,https://www.cardinali.com.br/comprar/Sao-Carlos/Apartamento/Padrao/Cidade-Jardim/202488,"2.778,75","2.223,00","250,00",,2473.0,2
Jardim Hikare,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Jardim-Hikare/202240,"1.390,00","1.112,00","350,00","35,00",1497.0,2
Parque Arnold Schimidt,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Kitchnet/Parque-Arnold-Schimidt/201900,"1.062,50","850,00",,"36,00",886.0,1
Cidade Jardim,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Cidade-Jardim/200966,"1.945,00","1.556,00","380,00",,1936.0,1
Jardim Santa Paula,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Jardim-Santa-Paula/200758,"1.875,00","1.500,00",,,1500.0,1
Jardim Santa Paula,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Jardim-Santa-Paula/199373,"1.945,00","1.556,00","480,20","78,11",2114.31,2
Cidade Jardim,https://www.cardinali.com.br/comprar/Sao-Carlos/Apartamento/Padrao/Cidade-Jardim/198471,"2.125,00","1.700,00","228,00","75,00",2003.0,2
Cidade Jardim,https://www.cardinali.com.br/comprar/Sao-Carlos/Apartamento/Padrao/Cidade-Jardim/198469,"2.062,50","1.650,00","230,00","65,00",1945.0,2
Jardim Paraiso,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Jardim-Paraiso/198377,"1.140,00","912,00",,"50,95",962.95,1
Jardim Paraiso,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Jardim-Paraiso/198376,"1.140,00","912,00",,"50,95",962.95,1
Jardim Alvorada,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Jardim-Alvorada/198282,"2.062,50","1.650,00","350,00","70,00",2070.0,2
Jardim Bandeirantes,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Jardim-Bandeirantes/198112,"1.111,25","889,00","192,00","15,00",1096.0,1
Cidade Jardim,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Kitchnet/Cidade-Jardim/132631,"1.362,50","1.090,00","176,00",,1266.0,1
Jardim Paraiso,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Jardim-Paraiso/120346,"1.140,00","912,00",,"50,95",962.95,1
Jardim Paraiso,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Jardim-Paraiso/120344,"1.140,00","912,00",,"50,95",962.95,1
Jardim Paraiso,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Jardim-Paraiso/120342,"1.140,00","912,00",,"50,95",962.95,1
Centro,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Centro/120322,"2.481,25","1.985,00","586,00",,2571.0,3
Cidade Jardim,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Cidade-Jardim/120320,"1.562,50","1.250,00","278,00",,1528.0,1
Jardim Alvorada,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Jardim-Alvorada/120319,"2.153,75","1.723,00","250,00","126,57",2099.57,2
Vila Celina,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Vila-Celina/120242,"1.445,00",,"265,00","51,97",1761.97,1
Jardim Bandeirantes,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Jardim-Bandeirantes/120051,"1.500,00","1.200,00","335,00",,1535.0,2
Vila Celina,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Vila-Celina/120016,"1.875,00","1.500,00","265,00","75,13",1840.13,1
Jardim Paraiso,https://www.cardinali.com.br/comprar/Sao-Carlos/Apartamento/Padrao/Jardim-Paraiso/119925,"2.237,50","1.790,00","395,00",,2185.0,2
Vila Celina,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Vila-Celina/119908,"2.500,00","2.000,00","265,00","77,03",2342.03,2
Cidade Jardim,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Cidade-Jardim/119671,"1.736,25","1.389,00","278,00",,1667.0,1
Jardim Paraiso,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Jardim-Paraiso/119525,"2.237,50","1.790,00","395,00","70,00",2255.0,2
Cidade Jardim,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Cidade-Jardim/119518,"1.362,50","1.090,00","175,00",,1265.0,1
Cidade Jardim,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Cidade-Jardim/119517,"1.362,50","1.090,00","176,00",,1266.0,1
Jardim Lutfalla,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Jardim-Lutfalla/119509,"1.173,75","939,00","175,00",,1114.0,1
Jardim Paraiso,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Kitchnet/Jardim-Paraiso/119341,"833,75","667,00","100,00",,767.0,1
Jardim Paulistano,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Kitchnet/Jardim-Paulistano/118717,"972,50","778,00","180,00",,958.0,1
Centro,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Centro/118380,"2.778,75","2.223,00","280,00","45,00",2548.0,1
Vila Celina,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Vila-Celina/117087,"2.361,25","1.889,00","282,00","48,41",2219.41,1
Jardim Jockei Club A,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Jardim-Jockei-Club-A/116982,"1.390,00","1.112,00","227,00","36,00",1375.0,2
Jardim Santa Paula,https://www.cardinali.com.br/comprar/Sao-Carlos/Apartamento/Padrao/Jardim-Santa-Paula/116952,"1.390,00","1.112,00","213,11","13,00",1338.11,1
Centro,https://www.cardinali.com.br/comprar/Sao-Carlos/Apartamento/Padrao/Centro/116930,"1.945,00","1.556,00","481,22","42,26",2079.48,2
Jardim Paulistano,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Jardim-Paulistano/116514,"1.931,25","1.545,00",,,1545.0,1
Vila Monteiro Gleba I,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Vila-Monteiro-Gleba-I/116480,"2.083,75","1.667,00","480,00","88,00",2235.0,2
Cidade Jardim,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Cidade-Jardim/116158,"1.362,50","1.090,00","176,00",,1266.0,1
Cidade Jardim,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Cidade-Jardim/116157,"1.362,50","1.090,00","176,00",,1266.0,1
Jardim Lutfalla,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Jardim-Lutfalla/116114,"1.056,25","845,00","175,00","16,26",1036.26,1
Jardim Lutfalla,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Jardim-Lutfalla/116101,"1.056,25","845,00","175,00",,1020.0,1
Parque Arnold Schimidt,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Parque-Arnold-Schimidt/116090,"1.612,50","1.290,00","286,00","50,00",1626.0,1
Vila Celina,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Kitchnet/Vila-Celina/116009,"838,75","671,00","40,00",,711.0,1
Cidade Jardim,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Cidade-Jardim/115945,"1.667,50","1.334,00","300,00","35,00",1669.0,2
Parque Arnold Schimidt,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Parque-Arnold-Schimidt/115812,"1.736,25","1.389,00","340,00",,1729.0,1
Jardim Centenario,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Apartamento-sem-condominio/Jardim-Centenario/115762,"1.673,75","1.339,00","150,00","44,35",1533.35,2
Jardim Santa Paula,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Jardim-Santa-Paula/115514,"1.250,00","1.000,00","210,00","25,00",1235.0,1
Centro,https://www.cardinali.com.br/comprar/Sao-Carlos/Apartamento/Padrao/Centro/115492,"1.668,75","1.335,00","1.035,47","104,00",2474.47,3
Jardim Alvorada,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Jardim-Alvorada/115220,"2.361,25","1.889,00","330,00","86,00",2305.0,2
Parque Arnold Schimidt,https://www.cardinali.com.br/comprar/Sao-Carlos/Apartamento/Padrao/Parque-Arnold-Schimidt/115069,"2.687,50","2.150,00","280,00",,2430.0,1
Parque Arnold Schimidt,https://www.cardinali.com.br/comprar/Sao-Carlos/Apartamento/Padrao/Parque-Arnold-Schimidt/115061,"1.875,00","1.500,00","420,00",,1920.0,1
Jardim Paulistano,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Flat-sem-Condominio/Jardim-Paulistano/115000,"833,75","667,00",,,667.0,1
Parque Arnold Schimidt,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Parque-Arnold-Schimidt/114988,"1.528,75","1.223,00","450,00",,1673.0,1
Jardim Bethania,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Jardim-Bethania/114925,"1.390,00","1.112,00","933,37","101,17",2146.54,2
Centro,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Centro/114790,"2.375,00","1.900,00","680,00","207,00",2787.0,3
Vila Celina,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Vila-Celina/114531,"1.875,00","1.500,00","210,00","36,00",1746.0,2
Jardim Centenario,https://www.cardinali.com.br/comprar/Sao-Carlos/Apartamento/Padrao/Jardim-Centenario/114147,"1.046,88","837,50","126,00","20,47",983.97,1
Jardim Santa Paula,https://www.cardinali.com.br/comprar/Sao-Carlos/Apartamento/Padrao/Jardim-Santa-Paula/113819,"1.390,00","1.112,00","189,19","31,06",1332.25,1
Centro,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Centro/113750,"1.250,00","1.000,00","880,00",,1880.0,1
Jardim Santa Paula,https://www.cardinali.com.br/comprar/Sao-Carlos/Apartamento/Padrao/Jardim-Santa-Paula/113560,"1.987,50","1.590,00","402,00","36,51",2028.51,1
Jardim Lutfalla,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Jardim-Lutfalla/113510,"2.778,75","2.223,00","350,00","65,00",2638.0,1
Jardim Paraiso,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Jardim-Paraiso/113444,"1.875,00","1.500,00","250,00","50,00",1800.0,1
Parque Arnold Schimidt,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Parque-Arnold-Schimidt/113382,"2.500,00","2.000,00","285,00","50,00",2335.0,2
Parque Santa Monica,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Parque-Santa-Monica/112740,"1.687,50","1.350,00","441,00","68,00",1859.0,2
Jardim Lutfalla,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Jardim-Lutfalla/112575,"3.750,00","3.000,00",,,3000.0,1
Vila Monteiro Gleba I,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Vila-Monteiro-Gleba-I/112569,"1.945,00","1.556,00","180,00","50,00",1786.0,1
Jardim Paraiso,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Jardim-Paraiso/112222,"1.737,50","1.390,00","235,00","25,00",1650.0,1
Parque Arnold Schimidt,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Parque-Arnold-Schimidt/111126,"1.667,50","1.334,00","420,00",,1754.0,1
Jardim Lutfalla,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Jardim-Lutfalla/111083,"2.437,50","1.950,00","219,00","101,44",2270.44,1
Jardim Lutfalla,https://www.cardinali.com.br/comprar/Sao-Carlos/Apartamento/Padrao/Jardim-Lutfalla/111071,"2.062,50","1.650,00","194,00","81,93",1925.93,1
Jardim Paraiso,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Jardim-Paraiso/110964,"875,00","700,00","900,00","47,77",1647.77,2
Parque Arnold Schimidt,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Parque-Arnold-Schimidt/110682,"1.667,50","1.334,00","440,00",,1774.0,1
Cidade Jardim,https://www.cardinali.com.br/comprar/Sao-Carlos/Apartamento/Padrao/Cidade-Jardim/109705,"1.806,25","1.445,00","430,00",,1875.0,1
Jardim Santa Paula,https://www.cardinali.com.br/comprar/Sao-Carlos/Apartamento/Flat-com-Condominio/Jardim-Santa-Paula/109394,"1.390,00","1.112,00","189,19","31,06",1332.25,1
Jardim Paraiso,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Kitchnet/Jardim-Paraiso/109136,"750,00","600,00","100,00",,700.0,1
Jardim Nova Santa Paula,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Jardim-Nova-Santa-Paula/108922,"1.500,00","1.200,00","371,95","42,56",1614.51,2
Jardim Paraiso,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Jardim-Paraiso/108712,"1.279,06","1.023,25",,"51,00",1074.25,1
Vila Marigo,https://www.cardinali.com.br/comprar/Sao-Carlos/Apartamento/Padrao/Vila-Marigo/108620,"1.320,00","1.056,00","170,00","70,00",1296.0,1
Jardim Jockei Club A,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Jardim-Jockei-Club-A/107811,"1.528,75","1.223,00","220,00","35,00",1478.0,2
Jardim Bandeirantes,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Jardim-Bandeirantes/107755,"1.675,00","1.340,00","80,00","70,00",1490.0,2
Cidade Jardim,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Cidade-Jardim/107266,"1.312,50","1.050,00","300,00",,1350.0,1
