Bairro,Link,Aluguel Cheio,Aluguel com Bonificação,Condomínio,IPTU,Total / Mês,Dormitórios
Jardim Lutfalla,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Jardim-Lutfalla/32842,"2.153,75","1.723,00","395,00","76,00",2194.0,1
Centro,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Centro/31459,"2.917,50","2.334,00","490,00","100,52",2924.52,2
Parque Santa Monica,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Parque-Santa-Monica/31303,"1.500,00","1.200,00","432,00","75,41",1707.41,2
Parque Santa Monica,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Parque-Santa-Monica/28633,"1.304,00",,"420,00","68,00",1792.0,2
Vila Marina,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Vila-Marina/28567,"1.528,75","1.223,00","214,00","57,00",1494.0,1
Vila Marina,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Vila-Marina/28564,"1.528,75","1.223,00","214,00","57,00",1494.0,1
Centro,https://www.cardinali.com.br/comprar/Sao-Carlos/Apartamento/Padrao/Centro/27388,"1.320,00","1.056,00","234,00","46,00",1336.0,1
Cidade Jardim,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Cidade-Jardim/25363,"2.000,00","1.600,00","235,00","52,59",1887.59,2
Jardim Alvorada,https://www.cardinali.com.br/comprar/Sao-Carlos/Apartamento/Padrao/Jardim-Alvorada/23992,"1.597,50","1.278,00","239,00","87,00",1604.0,2
Parque Santa Monica,https://www.cardinali.com.br/comprar/Sao-Carlos/Apartamento/Padrao/Parque-Santa-Monica/22240,"2.000,00","1.600,00","250,00","76,00",1926.0,2
Jardim Lutfalla,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Jardim-Lutfalla/21967,"2.083,75","1.667,00","430,21","46,12",2143.33,2
Centro,https://www.cardinali.com.br/comprar/Sao-Carlos/Apartamento/Padrao/Centro/21922,"2.000,00","1.600,00","500,00","22,58",2122.58,3
Centro,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Centro/20890,"1.806,25","1.445,00","311,08","102,24",1858.32,1
Jardim Lutfalla,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Jardim-Lutfalla/14575,"1.528,75","1.223,00","90,00","53,51",1366.51,1
Centro,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Centro/9430,"972,50","778,00","430,00","78,00",1286.0,2
Cidade Jardim,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Cidade-Jardim/3034,"1.500,00","1.200,00","200,00","96,00",1496.0,2
Vila Monteiro Gleba I,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Vila-Monteiro-Gleba-I/2512,"2.062,50","1.650,00","300,00","82,18",2032.18,2
Cidade Jardim,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Cidade-Jardim/2227,"1.528,75","1.223,00","376,32","54,83",1654.15,1
Cidade Jardim,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Cidade-Jardim/1729,"1.042,50","834,00",,,834.0,1
Cidade Jardim,https://www.cardinali.com.br/alugar/Sao-Carlos/Apartamento/Padrao/Cidade-Jardim/463,"1.945,00","1.556,00","583,00","19,24",2158.24,1
Jardim Alvorada,https://www.cardinali.com.br/comprar/Sao-Carlos/Apartamento/Padrao/Jardim-Alvorada/115,"2.750,00","2.200,00","359,00",,2559.0,2
